Date,Forecast
2034-06-01,441.9300370309985
2034-07-01,440.11262352255403
2034-08-01,437.56785777930304
2034-09-01,435.5503018307457
2034-10-01,435.613832895461
2034-11-01,437.2694790648298
2034-12-01,438.94848523462156
2035-01-01,440.2863016135694
2035-02-01,441.3050467082226
2035-03-01,442.47258503844273
2035-04-01,444.0895274958336
2035-05-01,444.7821997211454
2035-06-01,444.1270107638104
2035-07-01,442.30056231905223
2035-08-01,439.7431457419007
2035-09-01,437.7155598857743
2035-10-01,437.77940678346926
2035-11-01,439.44328369263883
2035-12-01,441.13063673216817
2036-01-01,442.4751038186887
2036-02-01,443.49891341682854
2036-03-01,444.67225594868376
2036-04-01,446.2972367375043
2036-05-01,446.99335245512697
2036-06-01,446.33490634663985
2036-07-01,444.4993780500472
2036-08-01,441.92924774770603
